Name,Year,Sex,Sport,NOC,Medal
Ioannis Mitropoulos,1896,M,Gymnastics,GRE,1
Carl Schuhmann,1896,M,Gymnastics,GER,3
Ioannis Frangoudis,1896,M,Shooting,GRE,3
"Spyridon P. ""Spyros"" Khazapis",1896,M,Swimming,GRE,1
"Jules Alexis ""Louis"" Zutter",1896,M,Gymnastics,SUI,3
Richard Rstel,1896,M,Gymnastics,GER,2
"Robert ""Bob"" Garrett",1896,M,Athletics,USA,4
Ioannis Andreou,1896,M,Swimming,GRE,1
Periklis Pierrakos-Mavromikhalis,1896,M,Fencing,GRE,1
Thomas Xenakis,1896,M,Gymnastics,GRE,1
Carl Schuhmann,1896,M,Wrestling,GER,1
Sotirios Versis,1896,M,Athletics,GRE,1
Gustav Felix Flatow,1896,M,Gymnastics,GER,2
"Spyridon ""Spyros"" Louis",1896,M,Athletics,GRE,1
Petros Persakis,1896,M,Gymnastics,GRE,1
Panagiotis Paraskevopoulos,1896,M,Athletics,GRE,1
Pavlos Pavlidis,1896,M,Shooting,GRE,1
Filippos Karvelas,1896,M,Gymnastics,GRE,1
Nikolaos Dorakis,1896,M,Shooting,GRE,1
Aristidis Konstantinidis,1896,M,Cycling,GRE,1
Georg Otto Hilmar,1896,M,Gymnastics,GER,2
Nikolaos Andriakopoulos,1896,M,Gymnastics,GRE,1
Paul Neumann (-Newman),1896,M,Swimming,AUT,1
Albin Georges Lermusiaux,1896,M,Athletics,FRA,1
Athanasios Vouros,1896,M,Fencing,GRE,1
Georgios Tsitas,1896,M,Wrestling,GRE,1
James Brendan Bennet Connolly,1896,M,Athletics,USA,3
Georgios Saranti Papasideris,1896,M,Athletics,GRE,1
"Thomas Edmund ""Tom"" Burke",1896,M,Athletics,USA,2
Holger Louis Nielsen,1896,M,Fencing,DEN,1
Stamatios Nikolopoulos,1896,M,Cycling,GRE,2
Ioannis Malokinis,1896,M,Swimming,GRE,1
"Thomas Pelham ""Tom"" Curtis",1896,M,Athletics,USA,1
Edward Battel,1896,M,Cycling,GBR,1
Ellery Harding Clark,1896,M,Athletics,USA,2
Julius Carl Fritz Manteuffel,1896,M,Gymnastics,GER,2
Frederick Keeping,1896,M,Cycling,GBR,1
"Friedrich Adolf ""Fritz"" Traun",1896,M,Tennis,GER,1
Sotirios Versis,1896,M,Weightlifting,GRE,1
Otto Herschmann,1896,M,Swimming,AUT,1
"Khios ""Konstantinos"" Paspatis",1896,M,Tennis,GRE,1
Marie Lon Flameng,1896,M,Cycling,FRA,3
Fritz Hofmann,1896,M,Athletics,GER,1
Sumner Paine,1896,M,Shooting,USA,2
Alexandros Nikolopoulos,1896,M,Weightlifting,GRE,1
Fritz Hofmann,1896,M,Gymnastics,GER,1
Grantley Thomas Smart Goulding,1896,M,Athletics,GBR,1
"Francis Adonijah ""Frank"" Lane",1896,M,Athletics,USA,1
Pierre Alexandre Tuffri,1896,M,Athletics,FRA,1
Fritz Richard Gustav Schuft,1896,M,Gymnastics,GER,2
Nikolaos Trikoupis,1896,M,Shooting,GRE,1
Conrad Helmut Fritz Bcker,1896,M,Gymnastics,GER,2
Alexander Viggo Jensen,1896,M,Weightlifting,DEN,2
Alexander Viggo Jensen,1896,M,Shooting,DEN,1
Joanni Maurice Perronet,1896,M,Fencing,FRA,1
Kharilaos Vasilakos,1896,M,Athletics,GRE,1
Ioannis Theodoropoulos,1896,M,Athletics,GRE,1
Ioannis Persakis,1896,M,Athletics,GRE,1
Paul Michel Pierre Adrien Masson (-Nossam),1896,M,Cycling,FRA,3
Ioannis Georgiadis,1896,M,Fencing,GRE,1
Gyula Kellner,1896,M,Athletics,HUN,1
Holger Louis Nielsen,1896,M,Shooting,DEN,2
Dimitrios Drivas,1896,M,Swimming,GRE,1
George Stuart Robertson,1896,M,Tennis,GBR,1
"Edwin Harold ""Teddy"" Flack",1896,M,Athletics,AUS,2
Stefanos Khristopoulos,1896,M,Wrestling,GRE,1
Herbert Brotherson Jamison,1896,M,Athletics,USA,1
John Bryant Paine,1896,M,Shooting,USA,1
Dimitrios Stephen Petrokokkinos,1896,M,Tennis,GRE,1
Alfrd (Arnold-) Hajs (Guttmann-),1896,M,Swimming,HUN,2
Efstathios Khorafas,1896,M,Swimming,GRE,1
Momcsill Tapavicza,1896,M,Tennis,HUN,1
Dimitrios P. Golemis,1896,M,Athletics,GRE,1
Hermann Otto Ludwig Weingrtner,1896,M,Gymnastics,GER,6
Dimitrios Loundras,1896,M,Gymnastics,GRE,1
Eugne Henry Gravelotte,1896,M,Fencing,FRA,1
Launceston Elliot,1896,M,Weightlifting,GBR,2
"Edwin Harold ""Teddy"" Flack",1896,M,Tennis,AUS,1
Eugne Henri Callot,1896,M,Fencing,FRA,1
Tilemakhos Karakalos,1896,M,Fencing,GRE,1
Alfred Flatow,1896,M,Gymnastics,GER,4
Karl Neukirch,1896,M,Gymnastics,GER,2
Felix Adolf Schmal,1896,M,Cycling,AUT,3
"William Welles ""Bill"" Hoyt",1896,M,Athletics,USA,1
John Mary Pius Boland,1896,M,Tennis,GBR,2
Antonios Pepanos,1896,M,Swimming,GRE,1
Miltiadis Gouskos,1896,M,Athletics,GRE,1
Nndor Dni,1896,M,Athletics,HUN,1
Demetrius Emmanuel Casdagli,1896,M,Tennis,GRE,2
Evangelos Damaskos,1896,M,Athletics,GRE,1
Georgios Koletis,1896,M,Cycling,GRE,1
"Leonidas ""Leon"" Pyrgos",1896,M,Fencing,GRE,1
Georgios D. Orfanidis,1896,M,Shooting,GRE,2
Pantelis Karasevdas,1896,M,Shooting,GRE,1
Arthur Charles Blake,1896,M,Athletics,USA,1
Albert Clinton Tyler,1896,M,Athletics,USA,1
Alajos (Aljoz) Szokoly (-Szokol),1896,M,Athletics,HUN,1
Anton Gdrich,1896,M,Cycling,GER,1
Charles Henry Stuart Gmelin,1896,M,Athletics,GBR,1
mile Robert Wegelin,1900,M,Rowing,FRA,1
Alfred Ernest Chalk,1900,M,Football,GBR,1
Alfred Ernest Tysoe,1900,M,Athletics,GBR,2
J. Howard Taylor,1900,M,Sailing,GBR,1
Jacob Hermann,1900,M,Rugby,GER,1
Peder Rudolph Lykkeberg,1900,M,Swimming,DEN,1
Oscar Waldemar Tietgens,1900,M,Rowing,GER,1
Robert Horne,1900,M,Cricket,GBR,1
"Oscar Grgoire, Jr.",1900,M,Water Polo,BEL,1
Charlot,1900,M,Rowing,FRA,1
mile Sacr,1900,M,Sailing,FRA,1
James Cantion,1900,M,Rugby,GBR,1
"James Benner ""Jim"" Juvenal",1900,M,Rowing,USA,1
William Edgar Exshaw,1900,M,Sailing,GBR,2
Charlotte Reinagle Cooper (-Sterry),1900,F,Tennis,GBR,2
Raul Kelecom,1900,M,Football,BEL,1
"William Francis Patterson ""Bill"" Quash",1900,M,Football,GBR,1
Alfred John Schneidau,1900,M,Cricket,GBR,1
Charles William Martin,1900,M,Sailing,FRA,2
Jacques le Lavasseur,1900,M,Sailing,FRA,2
Alfred James Powlesland,1900,M,Cricket,GBR,1
Alfred James Bowerman,1900,M,Cricket,GBR,1
James Henry Jones,1900,M,Football,GBR,1
"Raymond Clarence ""Ray"" Ewry",1900,M,Athletics,USA,3
"William Dunbar ""Willie"" Attrill",1900,M,Cricket,FRA,1
Alfred Van Landeghem,1900,M,Rowing,BEL,1
Oscar Charles de Somville,1900,M,Rowing,BEL,1
Oscar De Cock,1900,M,Rowing,BEL,1
Jacques Doucet,1900,M,Sailing,FRA,2
James Brendan Bennet Connolly,1900,M,Athletics,USA,1
Alfred Grtter,1900,M,Shooting,SUI,1
Jacques Baudrier,1900,M,Sailing,FRA,3
Robert Linzeler,1900,M,Sailing,FRA,2
mile Torcheboeuf,1900,M,Athletics,FRA,1
mile Roger de Thomas de Barbarin,1900,M,Shooting,FRA,1
J. Dubois,1900,M,Sailing,FRA,2
A. Albert,1900,M,Rugby,FRA,1
J. Bertrand,1900,M,Swimming,FRA,1
Albert Delbecque,1900,M,Football,BEL,1
