name,year,sex,sport,team,medals
Ioannis Mitropoulos,1896,M,Gymnastics,GRE,1
Carl Schuhmann,1896,M,Gymnastics,GER,3
Ioannis Frangoudis,1896,M,Shooting,GRE,3
"Spyridon P. ""Spyros"" Khazapis",1896,M,Swimming,GRE,1
"Jules Alexis ""Louis"" Zutter",1896,M,Gymnastics,SUI,3
Richard Rstel,1896,M,Gymnastics,GER,2
"Robert ""Bob"" Garrett",1896,M,Athletics,USA,4
Ioannis Andreou,1896,M,Swimming,GRE,1
Periklis Pierrakos-Mavromikhalis,1896,M,Fencing,GRE,1
Thomas Xenakis,1896,M,Gymnastics,GRE,1
Carl Schuhmann,1896,M,Wrestling,GER,1
Sotirios Versis,1896,M,Athletics,GRE,1
Gustav Felix Flatow,1896,M,Gymnastics,GER,2
"Spyridon ""Spyros"" Louis",1896,M,Athletics,GRE,1
Petros Persakis,1896,M,Gymnastics,GRE,1
Panagiotis Paraskevopoulos,1896,M,Athletics,GRE,1
Pavlos Pavlidis,1896,M,Shooting,GRE,1
Filippos Karvelas,1896,M,Gymnastics,GRE,1
Nikolaos Dorakis,1896,M,Shooting,GRE,1
Aristidis Konstantinidis,1896,M,Cycling,GRE,1
