,NOC,region
0,AFG,Asia
1,ALB,Europe
2,ALG,Africa
3,ASA,Oceania
4,AND,Europe
5,ANG,Africa
6,ANT,Americas
7,ARG,Americas
8,ARM,Asia
9,ARU,Americas
10,AUS,Oceania
11,AUT,Europe
12,AZE,Asia
13,BAH,Americas
14,BRN,Asia
15,BAN,Asia
16,BAR,Americas
17,BLR,Europe
18,BEL,Europe
19,BIZ,Americas
20,BEN,Africa
21,BER,Americas
22,BHU,Asia
23,BOL,Americas
24,BIH,Europe
25,BOT,Africa
26,BRA,Americas
27,BRU,Asia
28,BUL,Europe
29,BUR,Africa
30,BDI,Africa
31,CPV,Africa
32,CAM,Asia
33,CMR,Africa
34,CAN,Americas
35,CAY,Americas
36,CAF,Africa
37,CHA,Africa
38,CHI,Americas
39,CHN,Asia
40,COL,Americas
41,COM,Africa
42,CGO,Africa
43,COD,Africa
44,COK,Oceania
45,CRC,Americas
46,CIV,Africa
47,CRO,Europe
48,CUB,Americas
49,CYP,Asia
50,CZE,Europe
51,DEN,Europe
52,DJI,Africa
53,DMA,Americas
54,DOM,Americas
55,ECU,Americas
56,EGY,Africa
57,ESA,Americas
58,GEQ,Africa
59,ERI,Africa
60,EST,Europe
61,SWZ,Africa
62,ETH,Africa
63,FIJ,Oceania
64,FIN,Europe
65,FRA,Europe
66,GAB,Africa
67,GAM,Africa
68,GEO,Asia
69,GER,Europe
70,GHA,Africa
71,GRE,Europe
72,GRN,Americas
73,GUM,Oceania
74,GUA,Americas
75,GUI,Africa
76,GBS,Africa
77,GUY,Americas
78,HAI,Americas
79,HON,Americas
80,HKG,Asia
81,HUN,Europe
82,ISL,Europe
83,IND,Asia
84,INA,Asia
85,IRI,Asia
86,IRQ,Asia
87,IRL,Europe
88,ISR,Asia
89,ITA,Europe
90,JAM,Americas
91,JPN,Asia
92,JOR,Asia
93,KAZ,Asia
94,KEN,Africa
95,PRK,Asia
96,KOR,Asia
97,KUW,Asia
98,KGZ,Asia
99,LAO,Asia
100,LAT,Europe
101,LIB,Asia
102,LES,Africa
103,LBR,Africa
104,LBA,Africa
105,LIE,Europe
106,LTU,Europe
107,LUX,Europe
108,MAD,Africa
109,MAW,Africa
110,MAS,Asia
111,MDV,Asia
112,MLI,Africa
113,MLT,Europe
114,MTN,Africa
115,MRI,Africa
116,MEX,Americas
117,FSM,Oceania
118,MDA,Europe
119,MON,Europe
120,MGL,Asia
121,MAR,Africa
122,MOZ,Africa
123,MYA,Asia
124,NAM,Africa
125,NRU,Oceania
126,NEP,Asia
127,NED,Europe
128,NZL,Oceania
129,NCA,Americas
130,NIG,Africa
131,NGR,Africa
132,MKD,Europe
133,NOR,Europe
134,OMA,Asia
135,PAK,Asia
136,PLW,Oceania
137,PLE,Asia
138,PAN,Americas
139,PNG,Oceania
140,PAR,Americas
141,PER,Americas
142,PHI,Asia
143,POL,Europe
144,POR,Europe
145,PUR,Americas
146,QAT,Asia
147,ROM,Europe
148,RUS,Europe
149,RWA,Africa
150,SKN,Americas
151,LCA,Americas
152,VIN,Americas
153,SAM,Oceania
154,SMR,Europe
155,STP,Africa
156,KSA,Asia
157,SEN,Africa
158,SCG,Europe
159,SEY,Africa
160,SLE,Africa
161,SIN,Asia
162,SVK,Europe
163,SLO,Europe
164,SOL,Oceania
165,SOM,Africa
166,RSA,Africa
167,ESP,Europe
168,SRI,Asia
169,SUD,Africa
170,SUR,Americas
171,SWE,Europe
172,SUI,Europe
173,SYR,Asia
174,TPE,Asia
175,TJK,Asia
176,TAN,Africa
177,THA,Asia
178,TLS,Asia
179,TOG,Africa
180,TGA,Oceania
181,TRI,Americas
182,TUN,Africa
183,TUR,Asia
184,TKM,Asia
185,UGA,Africa
186,UKR,Europe
187,UAE,Asia
188,GBR,Europe
189,USA,Americas
190,URU,Americas
191,UZB,Asia
192,VAN,Oceania
193,VEN,Americas
194,VIE,Asia
195,IVB,Americas
196,ISV,Americas
197,YEM,Asia
198,ZAM,Africa
199,ZIM,Africa
