,NOC,Team,Year,Continent,Medal
0,AFG,Afghanistan,1936,Asia,0
1,AFG,Afghanistan,1948,Asia,0
2,AFG,Afghanistan,1956,Asia,0
3,AFG,Afghanistan,1960,Asia,0
4,AFG,Afghanistan,1964,Asia,0
5,AFG,Afghanistan,1968,Asia,0
6,AFG,Afghanistan,1972,Asia,0
7,AFG,Afghanistan,1980,Asia,0
8,AFG,Afghanistan,1988,Asia,0
9,AFG,Afghanistan,1996,Asia,0
10,AFG,Afghanistan,2004,Asia,0
11,AFG,Afghanistan,2008,Asia,1
12,AFG,Afghanistan,2012,Asia,1
13,AFG,Afghanistan,2016,Asia,0
14,AHO,Netherlands Antilles,1952,,0
15,AHO,Netherlands Antilles,1960,,0
16,AHO,Netherlands Antilles,1964,,0
17,AHO,Netherlands Antilles,1968,,0
18,AHO,Netherlands Antilles,1972,,0
19,AHO,Netherlands Antilles,1976,,0
20,AHO,Netherlands Antilles,1984,,0
21,AHO,Netherlands Antilles,1988,,1
22,AHO,Netherlands Antilles,1992,,0
23,AHO,Netherlands Antilles,1996,,0
24,AHO,Netherlands Antilles,2000,,0
25,AHO,Netherlands Antilles,2004,,0
26,AHO,Netherlands Antilles,2008,,0
27,ALB,Albania,1972,Europe,0
28,ALB,Albania,1992,Europe,0
29,ALB,Albania,1996,Europe,0
30,ALB,Albania,2000,Europe,0
31,ALB,Albania,2004,Europe,0
32,ALB,Albania,2008,Europe,0
33,ALB,Albania,2012,Europe,0
34,ALB,Albania,2016,Europe,0
35,ALG,Algeria,1964,Africa,0
36,ALG,Algeria,1968,Africa,0
37,ALG,Algeria,1972,Africa,0
38,ALG,Algeria,1980,Africa,0
39,ALG,Algeria,1984,Africa,2
40,ALG,Algeria,1988,Africa,0
41,ALG,Algeria,1992,Africa,2
42,ALG,Algeria,1996,Africa,3
43,ALG,Algeria,2000,Africa,5
44,ALG,Algeria,2004,Africa,0
45,ALG,Algeria,2008,Africa,2
46,ALG,Algeria,2012,Africa,1
47,ALG,Algeria,2016,Africa,2
48,AND,Andorra,1976,Europe,0
49,AND,Andorra,1980,Europe,0
50,AND,Andorra,1984,Europe,0
51,AND,Andorra,1988,Europe,0
52,AND,Andorra,1992,Europe,0
53,AND,Andorra,1996,Europe,0
54,AND,Andorra,2000,Europe,0
55,AND,Andorra,2004,Europe,0
56,AND,Andorra,2008,Europe,0
57,AND,Andorra,2012,Europe,0
58,AND,Andorra,2016,Europe,0
59,ANG,Angola,1980,Africa,0
60,ANG,Angola,1988,Africa,0
61,ANG,Angola,1992,Africa,0
62,ANG,Angola,1996,Africa,0
63,ANG,Angola,2000,Africa,0
64,ANG,Angola,2004,Africa,0
65,ANG,Angola,2008,Africa,0
66,ANG,Angola,2012,Africa,0
67,ANG,Angola,2016,Africa,0
68,ANT,Antigua and Barbuda,1976,Americas,0
69,ANT,Antigua and Barbuda,1984,Americas,0
70,ANT,Antigua and Barbuda,1988,Americas,0
71,ANT,Antigua and Barbuda,1992,Americas,0
72,ANT,Antigua and Barbuda,1996,Americas,0
73,ANT,Antigua and Barbuda,2000,Americas,0
74,ANT,Antigua and Barbuda,2004,Americas,0
75,ANT,Antigua and Barbuda,2008,Americas,0
76,ANT,Antigua and Barbuda,2012,Americas,0
77,ANT,Antigua and Barbuda,2016,Americas,0
78,ANZ,Australasia,1908,,19
79,ANZ,Australasia,1912,,10
80,ANZ,Sydney Rowing Club,1912,,0
81,ARG,Acturus,1948,Americas,0
82,ARG,Antares,1948,Americas,0
83,ARG,Arcturus,1952,Americas,0
84,ARG,Ardilla,1960,Americas,0
85,ARG,Argentina,1900,Americas,0
86,ARG,Argentina,1908,Americas,0
87,ARG,Argentina,1920,Americas,0
88,ARG,Argentina,1924,Americas,10
89,ARG,Argentina,1928,Americas,26
90,ARG,Argentina,1932,Americas,4
91,ARG,Argentina,1936,Americas,11
92,ARG,Argentina,1948,Americas,6
93,ARG,Argentina,1952,Americas,6
94,ARG,Argentina,1956,Americas,2
95,ARG,Argentina,1960,Americas,1
96,ARG,Argentina,1964,Americas,1
97,ARG,Argentina,1968,Americas,2
98,ARG,Argentina,1972,Americas,1
99,ARG,Argentina,1976,Americas,0
100,ARG,Argentina,1984,Americas,0
101,ARG,Argentina,1988,Americas,13
102,ARG,Argentina,1992,Americas,2
103,ARG,Argentina,1996,Americas,20
104,ARG,Argentina,2000,Americas,20
105,ARG,Argentina,2004,Americas,49
106,ARG,Argentina,2008,Americas,51
107,ARG,Argentina,2012,Americas,19
108,ARG,Argentina,2016,Americas,22
109,ARG,Argentina-1,1924,Americas,0
110,ARG,Argentina-1,2000,Americas,0
111,ARG,Argentina-1,2004,Americas,0
