city,latitude,longitude
Paris,48.8566969,2.3514616
St. Louis,38.6268039,-90.1994097
Stockholm,59.3251172,18.0710935
Antwerpen,51.2211097,4.3997081
Amsterdam,52.3745403,4.8979755
Los Angeles,34.0536909,-118.2427666
Berlin,52.5170365,13.3888599
Helsinki,60.1674098,24.9425769
Melbourne,-37.8142176,144.9631608
Roma,41.894802,12.4853384
Tokyo,35.6828387,139.7594549
Mexico City,19.4326009,-99.1333416
Munich,48.1371079,11.5753822
Montreal,45.4972159,-73.6103642
Moskva,55.7504461,37.6174943
Seoul,37.5666791,126.9782914
Barcelona,41.3828939,2.1774322
Atlanta,33.7490987,-84.3901849
Sydney,-33.8548157,151.2164539
Athina,37.9841493,23.7279843
Beijing,39.906217,116.3912757
London,51.5073219,-0.1276474
Rio de Janeiro,-22.9110137,-43.2093727
